time,x,y,alt,utm_epsg
215.321983,583827.869816711,6148440.429026086,50.0,32632
215.523721,583827.869816711,6148440.429026086,50.0,32632
215.713879,583827.869816711,6148440.429026086,50.0,32632
215.932887,583827.869816711,6148440.429026086,50.0,32632
216.171129,583827.869816711,6148440.429026086,50.0,32632
216.309704,583827.8634962395,6148440.428905533,50.0,32632
216.514777,583827.869816711,6148440.429026086,50.0,32632
216.717226,583827.869816711,6148440.429026086,50.0,32632
216.915153,583827.869816711,6148440.429026086,50.0,32632
217.117478,583827.869816711,6148440.429026086,50.0,32632
217.320282,583827.8700289549,6148440.417898378,50.0,32632
217.515891,583827.869816711,6148440.429026086,50.0,32632
217.717798,583827.869816711,6148440.429026086,50.0,32632
217.930953,583827.869816711,6148440.429026086,50.0,32632
218.170887,583827.869816711,6148440.429026086,50.0,32632
218.320879,583827.869816711,6148440.429026086,50.0,32632
218.520883,583827.8761371827,6148440.429146638,50.0,32632
218.719879,583827.8761371827,6148440.429146638,50.0,32632
218.921547,583827.8761371827,6148440.429146638,50.0,32632
219.113877,583827.8826698982,6148440.418139485,50.0,32632
219.321578,583827.8826698982,6148440.418139485,50.0,32632
219.520004,583827.8824576545,6148440.429267191,50.0,32632
219.722245,583827.8824576545,6148440.429267191,50.0,32632
219.930751,583827.8826698982,6148440.418139485,50.0,32632
220.17126,583827.8889903699,6148440.418260038,50.0,32632
220.319195,583827.8889903699,6148440.418260038,50.0,32632
220.510777,583827.8889903699,6148440.418260038,50.0,32632
220.720883,583827.8889903699,6148440.418260038,50.0,32632
220.919792,583827.8889903699,6148440.418260038,50.0,32632
221.12103,583827.8889903699,6148440.418260038,50.0,32632
221.319372,583827.8953108415,6148440.418380591,50.0,32632
221.518024,583827.8889903699,6148440.418260038,50.0,32632
221.727876,583827.8950985976,6148440.4295083,50.0,32632
221.929957,583827.8953108415,6148440.418380591,50.0,32632
222.120097,583827.8953108415,6148440.418380591,50.0,32632
222.319882,583827.9016313133,6148440.418501145,50.0,32632
222.519131,583827.9014190694,6148440.429628852,50.0,32632
222.714739,583827.907739541,6148440.429749405,50.0,32632
222.917877,583827.907739541,6148440.429749405,50.0,32632
223.119878,583827.9140600127,6148440.429869958,50.0,32632
223.313828,583827.9140600127,6148440.429869958,50.0,32632
223.517883,583827.9140600127,6148440.429869958,50.0,32632
223.716899,583827.9203804843,6148440.429990511,50.0,32632
223.926892,583827.9142722565,6148440.418742251,50.0,32632
224.119889,583827.9203804843,6148440.429990511,50.0,32632
224.317066,583827.926700956,6148440.430111065,50.0,32632
224.515826,583827.926700956,6148440.430111065,50.0,32632
224.712128,583827.926700956,6148440.430111065,50.0,32632
224.919886,583827.9330214276,6148440.430231619,50.0,32632
225.116878,583827.9330214276,6148440.430231619,50.0,32632
225.320069,583827.9330214276,6148440.430231619,50.0,32632
225.520876,583827.9391296554,6148440.441479879,50.0,32632
225.718736,583827.9393418992,6148440.430352172,50.0,32632
225.92091,583827.9393418992,6148440.430352172,50.0,32632
226.117878,583827.9456623709,6148440.430472725,50.0,32632
226.316015,583827.9517705985,6148440.441720986,50.0,32632
226.517383,583827.9519828425,6148440.430593278,50.0,32632
226.715475,583827.9580910702,6148440.441841539,50.0,32632
226.912884,583827.9580910702,6148440.441841539,50.0,32632
227.118937,583827.9519828425,6148440.430593278,50.0,32632
227.31588,583827.9644115418,6148440.441962092,50.0,32632
227.513911,583827.9707320135,6148440.442082646,50.0,32632
227.714877,583827.9580910702,6148440.441841539,50.0,32632
227.932339,583827.9583033143,6148440.430713831,50.0,32632
228.115873,583827.9646237858,6148440.430834386,50.0,32632
228.30789,583827.9646237858,6148440.430834386,50.0,32632
228.515978,583827.9583033143,6148440.430713831,50.0,32632
228.716285,583827.9709442575,6148440.430954938,50.0,32632
228.910358,583827.9772647292,6148440.431075492,50.0,32632
229.107879,583827.9709442575,6148440.430954938,50.0,32632
229.305887,583827.9646237858,6148440.430834386,50.0,32632
229.510879,583827.9835852007,6148440.431196045,50.0,32632
229.708938,583827.9772647292,6148440.431075492,50.0,32632
229.920406,583827.9837974448,6148440.420068337,50.0,32632
230.102908,583827.9646237858,6148440.430834386,50.0,32632
230.311904,583827.9646237858,6148440.430834386,50.0,32632
230.512914,583827.9648360299,6148440.419706678,50.0,32632
230.711529,583827.9648360299,6148440.419706678,50.0,32632
230.920397,583827.9713687456,6148440.408699525,50.0,32632
231.113563,583827.9776892173,6148440.408820078,50.0,32632
231.311826,583827.9779014614,6148440.397692369,50.0,32632
231.509874,583827.9715809897,6148440.397571816,50.0,32632
231.711875,583827.9779014614,6148440.397692369,50.0,32632
231.922034,583827.9779014614,6148440.397692369,50.0,32632
232.113954,583827.9779014614,6148440.397692369,50.0,32632
232.313579,583827.9779014614,6148440.397692369,50.0,32632
232.512381,583827.9781137054,6148440.386564663,50.0,32632
232.708301,583827.9844341772,6148440.386685216,50.0,32632
232.901539,583827.9783259495,6148440.375436954,50.0,32632
233.119872,583827.9909668929,6148440.3756780615,50.0,32632
233.318905,583827.991179137,6148440.364550354,50.0,32632
233.512801,583828.0040323247,6148440.353663753,50.0,32632
233.709934,583828.0421673994,6148440.343259367,50.0,32632
233.934063,583828.0550205873,6148440.332372766,50.0,32632
234.112367,583828.0366959046,6148440.298627982,50.0,32632
234.303212,583828.0366959046,6148440.298627982,50.0,32632
234.508361,583828.024267205,6148440.287259169,50.0,32632
234.709009,583828.0244794491,6148440.276131461,50.0,32632
234.912794,583828.0246916934,6148440.265003754,50.0,32632
235.109454,583827.99962205,6148440.2533938335,50.0,32632
235.307795,583827.99962205,6148440.2533938335,50.0,32632
235.51091,583828.006154766,6148440.242386678,50.0,32632
235.711193,583828.0000465382,6148440.231138418,50.0,32632
235.917523,583827.9939383103,6148440.219890157,50.0,32632
236.110906,583827.9939383103,6148440.219890157,50.0,32632
236.308061,583828.0004710264,6148440.208883002,50.0,32632
236.510876,583827.9876178383,6148440.219769604,50.0,32632
236.711198,583827.9878300824,6148440.208641895,50.0,32632
236.909066,583827.9878300824,6148440.208641895,50.0,32632
237.112302,583827.9876178383,6148440.219769604,50.0,32632
237.30906,583827.9939383103,6148440.219890157,50.0,32632
237.511875,583827.9878300824,6148440.208641895,50.0,32632
237.712788,583827.9943627984,6148440.197634742,50.0,32632
237.919312,583828.031861142,6148440.220613478,50.0,32632
238.1119,583828.0379693698,6148440.231861739,50.0,32632
238.314134,583828.0571430299,6148440.221095691,50.0,32632
238.513875,583828.0508225579,6148440.220975138,50.0,32632
238.71041,583828.0445020859,6148440.220854585,50.0,32632
238.91604,583828.038181614,6148440.220734032,50.0,32632
239.119875,583828.0133242145,6148440.197996401,50.0,32632
239.317524,583828.0259651584,6148440.198237509,50.0,32632
239.511013,583828.02554067,6148440.220492925,50.0,32632
239.717902,583828.0253284259,6148440.231620632,50.0,32632
239.926877,583828.02554067,6148440.220492925,50.0,32632
240.127391,583828.0192201982,6148440.22037237,50.0,32632
240.308951,583828.0190079539,6148440.231500078,50.0,32632
240.50992,583828.012687482,6148440.231379525,50.0,32632
240.714323,583828.0447143301,6148440.209726877,50.0,32632
240.918592,583828.0447143301,6148440.209726877,50.0,32632
241.118187,583828.0257529143,6148440.209365215,50.0,32632
241.314288,583828.0322856305,6148440.198358062,50.0,32632
241.514873,583828.0449265743,6148440.19859917,50.0,32632
241.718083,583828.0451388186,6148440.1874714615,50.0,32632
241.930028,583828.0257529143,6148440.209365215,50.0,32632
242.113435,583828.0257529143,6148440.209365215,50.0,32632
242.327557,583828.0192201982,6148440.22037237,50.0,32632
242.525331,583828.0063670101,6148440.231258972,50.0,32632
242.735881,583828.0251161817,6148440.24274834,50.0,32632
242.931693,583828.0377571256,6148440.242989446,50.0,32632
243.133056,583828.0251161817,6148440.24274834,50.0,32632
243.319233,583828.0253284259,6148440.231620632,50.0,32632
243.530914,583828.0316488979,6148440.231741185,50.0,32632
243.729398,583828.0377571256,6148440.242989446,50.0,32632
243.940875,583828.0190079539,6148440.231500078,50.0,32632
244.132882,583828.0190079539,6148440.231500078,50.0,32632
244.320965,583828.0192201982,6148440.22037237,50.0,32632
244.520879,583828.0192201982,6148440.22037237,50.0,32632
244.717296,583828.0192201982,6148440.22037237,50.0,32632
244.91702,583828.02554067,6148440.220492925,50.0,32632
245.124515,583828.0196446865,6148440.198116955,50.0,32632
245.331054,583828.0322856305,6148440.198358062,50.0,32632
245.529,583828.0322856305,6148440.198358062,50.0,32632
245.73136,583828.0451388186,6148440.1874714615,50.0,32632
245.928247,583828.0386061025,6148440.198478616,50.0,32632
246.129875,583828.0514592907,6148440.187592015,50.0,32632
246.324515,583828.0451388186,6148440.1874714615,50.0,32632
246.531864,583828.0453510628,6148440.176343755,50.0,32632
