time,x,y,alt,utm_epsg
158.18307299999998,583827.3568440971,6148440.1409480665,50.0,32632
158.301567,583827.3629523267,6148440.152196327,50.0,32632
158.50159499999998,583827.3629523267,6148440.152196327,50.0,32632
158.701891,583827.3692727988,6148440.152316879,50.0,32632
158.904908,583827.3755932708,6148440.152437431,50.0,32632
159.104873,583827.3758055132,6148440.141309724,50.0,32632
159.30387199999998,583827.3819137427,6148440.152557984,50.0,32632
159.502874,583827.3819137427,6148440.152557984,50.0,32632
159.70856999999998,583827.3819137427,6148440.152557984,50.0,32632
159.906311,583827.3882342149,6148440.152678536,50.0,32632
160.10361799999998,583827.3945546868,6148440.1527990885,50.0,32632
160.30488699999998,583827.3945546868,6148440.1527990885,50.0,32632
160.50859499999999,583827.4006629162,6148440.164047348,50.0,32632
160.706231,583827.4006629162,6148440.164047348,50.0,32632
160.909877,583827.4069833884,6148440.1641679015,50.0,32632
161.11023,583827.4069833884,6148440.1641679015,50.0,32632
161.301016,583827.4133038605,6148440.164288455,50.0,32632
161.50017699999998,583827.4133038605,6148440.164288455,50.0,32632
161.70608099999998,583827.4196243323,6148440.164409006,50.0,32632
161.918251,583827.4259448044,6148440.164529559,50.0,32632
162.107191,583827.4259448044,6148440.164529559,50.0,32632
162.307908,583827.4322652764,6148440.164650111,50.0,32632
162.50587299999998,583827.4322652764,6148440.164650111,50.0,32632
162.707452,583827.4322652764,6148440.164650111,50.0,32632
162.90887999999998,583827.4385857484,6148440.164770664,50.0,32632
163.106886,583827.4385857484,6148440.164770664,50.0,32632
163.308935,583827.4449062205,6148440.164891217,50.0,32632
163.507908,583827.4512266925,6148440.165011769,50.0,32632
163.704874,583827.4575471645,6148440.165132322,50.0,32632
163.910404,583827.4573349218,6148440.176260029,50.0,32632
164.107475,583827.4636553939,6148440.176380581,50.0,32632
164.306959,583827.4636553939,6148440.176380581,50.0,32632
164.511874,583827.4636553939,6148440.176380581,50.0,32632
164.709489,583827.4699758659,6148440.176501134,50.0,32632
164.90868,583827.4699758659,6148440.176501134,50.0,32632
165.10395,583827.4760840951,6148440.187749394,50.0,32632
165.299872,583827.4760840951,6148440.187749394,50.0,32632
165.505786,583827.4760840951,6148440.187749394,50.0,32632
165.706608,583827.4824045671,6148440.1878699465,50.0,32632
165.91022999999998,583827.4887250391,6148440.1879905,50.0,32632
166.145062,583827.4885127962,6148440.199118208,50.0,32632
166.306881,583827.4885127962,6148440.199118208,50.0,32632
166.50199899999998,583827.4948332682,6148440.19923876,50.0,32632
166.69688399999998,583827.5011537402,6148440.199359314,50.0,32632
