x,y,alt,utm_epsg
583827.869816711,6148440.429026086,50.0,32632
583827.9707320135,6148440.442082646,50.0,32632
583828.0550205873,6148440.332372766,50.0,32632
583827.9878300824,6148440.208641895,50.0,32632
583828.0377571256,6148440.242989446,50.0,32632
583828.0586287396,6148440.14320174,50.0,32632
