time,lat,lon,alt
158.18307299999998,55.4749081,10.3261986,50.0
158.301567,55.474908199999994,10.326198699999999,50.0
158.50159499999998,55.474908199999994,10.326198699999999,50.0
158.701891,55.474908199999994,10.3261988,50.0
158.904908,55.474908199999994,10.3261989,50.0
159.104873,55.4749081,10.3261989,50.0
159.30387199999998,55.474908199999994,10.326198999999999,50.0
159.502874,55.474908199999994,10.326198999999999,50.0
159.70856999999998,55.474908199999994,10.326198999999999,50.0
159.906311,55.474908199999994,10.3261991,50.0
160.10361799999998,55.474908199999994,10.3261992,50.0
160.30488699999998,55.474908199999994,10.3261992,50.0
160.50859499999999,55.474908299999996,10.326199299999999,50.0
160.706231,55.474908299999996,10.326199299999999,50.0
160.909877,55.474908299999996,10.3261994,50.0
161.11023,55.474908299999996,10.3261994,50.0
161.301016,55.474908299999996,10.3261995,50.0
161.50017699999998,55.474908299999996,10.3261995,50.0
161.70608099999998,55.474908299999996,10.326199599999999,50.0
161.918251,55.474908299999996,10.3261997,50.0
162.107191,55.474908299999996,10.3261997,50.0
162.307908,55.474908299999996,10.3261998,50.0
162.50587299999998,55.474908299999996,10.3261998,50.0
162.707452,55.474908299999996,10.3261998,50.0
162.90887999999998,55.474908299999996,10.326199899999999,50.0
163.106886,55.474908299999996,10.326199899999999,50.0
163.308935,55.474908299999996,10.3262,50.0
163.507908,55.474908299999996,10.3262001,50.0
163.704874,55.474908299999996,10.326200199999999,50.0
163.910404,55.4749084,10.326200199999999,50.0
164.107475,55.4749084,10.3262003,50.0
164.306959,55.4749084,10.3262003,50.0
164.511874,55.4749084,10.3262003,50.0
164.709489,55.4749084,10.3262004,50.0
164.90868,55.4749084,10.3262004,50.0
165.10395,55.4749085,10.326200499999999,50.0
165.299872,55.4749085,10.326200499999999,50.0
165.505786,55.4749085,10.326200499999999,50.0
165.706608,55.4749085,10.3262006,50.0
165.91022999999998,55.4749085,10.3262007,50.0
166.145062,55.4749086,10.3262007,50.0
166.306881,55.4749086,10.3262007,50.0
166.50199899999998,55.4749086,10.326200799999999,50.0
166.69688399999998,55.4749086,10.3262009,50.0
