x,y,alt,utm_epsg
583825.2763778337,6148444.464915303,50.0,32632
583823.4691229195,6148443.083503696,50.0,32632
583822.8756821136,6148442.704837429,50.0,32632
583821.7294356008,6148442.137519976,50.0,32632
583820.6162304296,6148441.82686336,50.0,32632
583820.0674106992,6148441.760737632,50.0,32632
583819.5295341114,6148441.783874719,50.0,32632
583818.482624444,6148441.975411985,50.0,32632
583817.450007495,6148442.412120686,50.0,32632
583816.9323196934,6148442.702805227,50.0,32632
583816.4139953161,6148443.026872952,50.0,32632
583815.3493061648,6148443.819186645,50.0,32632
583813.6825961577,6148445.345847426,50.0,32632
583811.9284161939,6148447.149134634,50.0,32632
583809.6731328066,6148449.699826063,50.0,32632
583807.9894967919,6148451.782753853,50.0,32632
583805.7067690912,6148454.778194044,50.0,32632
583801.9287545814,6148459.926947289,50.0,32632
583800.9533172377,6148461.34434436,50.0,32632
583799.5585202354,6148463.532968402,50.0,32632
583798.2374480946,6148465.834316099,50.0,32632
583797.009062085,6148468.248748912,50.0,32632
583795.1764075989,6148472.510663792,50.0,32632
583793.5181823072,6148476.909486056,50.0,32632
583792.9023341864,6148478.701088547,50.0,32632
583792.0459658604,6148481.501095058,50.0,32632
583791.5348078478,6148483.439406499,50.0,32632
583791.0794731365,6148485.4344410505,50.0,32632
583790.5647889427,6148488.552651275,50.0,32632
583790.4365511596,6148489.641118271,50.0,32632
583790.2799291878,6148491.886746529,50.0,32632
583790.3175423131,6148494.225131963,50.0,32632
583790.4395745436,6148495.451951481,50.0,32632
583790.6302823687,6148496.724607344,50.0,32632
583791.206144533,6148499.351548607,50.0,32632
583791.8879673427,6148502.0584324645,50.0,32632
583792.6458459406,6148504.755634775,50.0,32632
583793.2609008455,6148507.31653312,50.0,32632
583793.5900976101,6148509.615951021,50.0,32632
583793.8616301639,6148514.608154133,50.0,32632
583793.9127850393,6148514.909686836,50.0,32632
583794.0968797073,6148515.202622447,50.0,32632
583794.2418237438,6148515.227649499,50.0,32632
583794.4263872762,6148515.164377914,50.0,32632
583794.9773643621,6148514.785271641,50.0,32632
583795.7885820118,6148514.02151592,50.0,32632
583796.9047074789,6148512.851699044,50.0,32632
583803.5547741822,6148505.297588958,50.0,32632
583811.0060382163,6148496.51201051,50.0,32632
583816.6325801407,6148489.584042437,50.0,32632
583821.1550039304,6148483.859516209,50.0,32632
583823.2038262909,6148481.193575507,50.0,32632
583824.8402915699,6148478.931645771,50.0,32632
583826.1229804029,6148476.985789841,50.0,32632
583827.0266103698,6148475.355525201,50.0,32632
